collison detect time::   	3.06838		collison pairs time::   	0
collison detect time::   	3.24893		collison pairs time::   	0
collison detect time::   	3.15264		collison pairs time::   	0
collison detect time::   	3.09232		collison pairs time::   	0
collison detect time::   	3.09059		collison pairs time::   	0
collison detect time::   	3.09718		collison pairs time::   	0
collison detect time::   	3.08346		collison pairs time::   	0
collison detect time::   	3.10275		collison pairs time::   	0
collison detect time::   	3.07917		collison pairs time::   	0
collison detect time::   	3.10995		collison pairs time::   	0
collison detect time::   	3.09894		collison pairs time::   	0
collison detect time::   	3.08563		collison pairs time::   	0
collison detect time::   	3.12531		collison pairs time::   	0
collison detect time::   	3.13517		collison pairs time::   	0
collison detect time::   	3.0943		collison pairs time::   	0
collison detect time::   	107.971		collison pairs time::   	0
collison detect time::   	3.11632		collison pairs time::   	0
collison detect time::   	3.13581		collison pairs time::   	0
collison detect time::   	3.10531		collison pairs time::   	0
collison detect time::   	3.12934		collison pairs time::   	0
collison detect time::   	3.10144		collison pairs time::   	0
collison detect time::   	3.53139		collison pairs time::   	0
collison detect time::   	3.09437		collison pairs time::   	0
collison detect time::   	3.11459		collison pairs time::   	0
collison detect time::   	3.09485		collison pairs time::   	0
collison detect time::   	3.19632		collison pairs time::   	0
collison detect time::   	3.10163		collison pairs time::   	0
collison detect time::   	3.11965		collison pairs time::   	0
collison detect time::   	3.11107		collison pairs time::   	0
collison detect time::   	3.09923		collison pairs time::   	0
collison detect time::   	3.11261		collison pairs time::   	0
collison detect time::   	3.13238		collison pairs time::   	0
collison detect time::   	3.11725		collison pairs time::   	0
collison detect time::   	3.1535		collison pairs time::   	0
collison detect time::   	3.28915		collison pairs time::   	0
collison detect time::   	3.116		collison pairs time::   	0
collison detect time::   	3.08634		collison pairs time::   	0
collison detect time::   	3.0936		collison pairs time::   	0
collison detect time::   	3.08944		collison pairs time::   	0
collison detect time::   	3.1081		collison pairs time::   	0
collison detect time::   	3.08387		collison pairs time::   	0
collison detect time::   	3.10192		collison pairs time::   	0
collison detect time::   	3.10717		collison pairs time::   	0
collison detect time::   	3.28768		collison pairs time::   	0
collison detect time::   	3.23462		collison pairs time::   	0
collison detect time::   	3.06714		collison pairs time::   	0
collison detect time::   	3.07197		collison pairs time::   	0
collison detect time::   	3.10931		collison pairs time::   	0
collison detect time::   	3.07914		collison pairs time::   	0
collison detect time::   	3.08288		collison pairs time::   	0
collison detect time::   	3.0728		collison pairs time::   	0
collison detect time::   	3.09814		collison pairs time::   	0
collison detect time::   	3.0897		collison pairs time::   	0
collison detect time::   	3.11446		collison pairs time::   	0
collison detect time::   	3.34858		collison pairs time::   	0
collison detect time::   	3.09568		collison pairs time::   	0
collison detect time::   	3.31066		collison pairs time::   	0
collison detect time::   	3.15981		collison pairs time::   	0
collison detect time::   	3.08723		collison pairs time::   	0
collison detect time::   	3.0745		collison pairs time::   	0
collison detect time::   	3.07789		collison pairs time::   	0
collison detect time::   	3.11882		collison pairs time::   	0
collison detect time::   	3.11568		collison pairs time::   	0
collison detect time::   	3.12467		collison pairs time::   	0
collison detect time::   	3.09462		collison pairs time::   	0
collison detect time::   	3.16384		collison pairs time::   	0
collison detect time::   	3.08691		collison pairs time::   	0
collison detect time::   	3.19658		collison pairs time::   	0
collison detect time::   	3.13651		collison pairs time::   	0
collison detect time::   	3.0857		collison pairs time::   	0
collison detect time::   	3.07197		collison pairs time::   	0
collison detect time::   	3.2672		collison pairs time::   	0
collison detect time::   	3.3112		collison pairs time::   	0
collison detect time::   	3.3184		collison pairs time::   	0
collison detect time::   	3.25789		collison pairs time::   	0
collison detect time::   	3.0961		collison pairs time::   	0
collison detect time::   	3.32666		collison pairs time::   	0
collison detect time::   	3.10112		collison pairs time::   	0
collison detect time::   	3.08547		collison pairs time::   	0
collison detect time::   	3.17123		collison pairs time::   	0
collison detect time::   	3.06461		collison pairs time::   	0
collison detect time::   	3.09472		collison pairs time::   	0
collison detect time::   	3.28394		collison pairs time::   	0
collison detect time::   	3.15318		collison pairs time::   	0
collison detect time::   	3.08922		collison pairs time::   	0
collison detect time::   	3.25939		collison pairs time::   	0
collison detect time::   	3.27827		collison pairs time::   	0
collison detect time::   	3.17149		collison pairs time::   	0
collison detect time::   	3.09574		collison pairs time::   	0
collison detect time::   	3.09453		collison pairs time::   	0
collison detect time::   	3.07629		collison pairs time::   	0
collison detect time::   	3.12042		collison pairs time::   	0
collison detect time::   	3.10723		collison pairs time::   	0
collison detect time::   	3.18778		collison pairs time::   	0
collison detect time::   	3.25411		collison pairs time::   	0
collison detect time::   	3.12963		collison pairs time::   	0
collison detect time::   	3.08698		collison pairs time::   	0
collison detect time::   	3.17024		collison pairs time::   	0
collison detect time::   	3.09936		collison pairs time::   	0
collison detect time::   	3.09085		collison pairs time::   	0
collison detect time::   	3.08502		collison pairs time::   	0
collison detect time::   	3.10563		collison pairs time::   	0
collison detect time::   	3.08282		collison pairs time::   	0
collison detect time::   	3.45936		collison pairs time::   	0
collison detect time::   	3.132		collison pairs time::   	0
collison detect time::   	3.10934		collison pairs time::   	0
collison detect time::   	3.08656		collison pairs time::   	0
collison detect time::   	3.11821		collison pairs time::   	0
collison detect time::   	3.08982		collison pairs time::   	0
collison detect time::   	3.25635		collison pairs time::   	0
collison detect time::   	3.08467		collison pairs time::   	0
collison detect time::   	3.296		collison pairs time::   	0
collison detect time::   	3.09936		collison pairs time::   	0
collison detect time::   	3.29488		collison pairs time::   	0
collison detect time::   	3.13693		collison pairs time::   	0
collison detect time::   	3.1081		collison pairs time::   	0
collison detect time::   	3.17456		collison pairs time::   	0
collison detect time::   	3.11411		collison pairs time::   	0
collison detect time::   	3.09856		collison pairs time::   	0
collison detect time::   	3.11686		collison pairs time::   	0
collison detect time::   	3.0871		collison pairs time::   	0
collison detect time::   	3.1193		collison pairs time::   	0
collison detect time::   	3.10272		collison pairs time::   	0
collison detect time::   	3.08198		collison pairs time::   	0
collison detect time::   	3.0927		collison pairs time::   	0
collison detect time::   	3.10381		collison pairs time::   	0
collison detect time::   	3.14035		collison pairs time::   	0
collison detect time::   	3.28861		collison pairs time::   	0
collison detect time::   	3.28134		collison pairs time::   	0
collison detect time::   	3.08685		collison pairs time::   	0
collison detect time::   	3.08653		collison pairs time::   	0
collison detect time::   	3.11462		collison pairs time::   	0
collison detect time::   	3.09366		collison pairs time::   	0
collison detect time::   	3.10218		collison pairs time::   	0
collison detect time::   	3.07606		collison pairs time::   	0
collison detect time::   	3.23792		collison pairs time::   	0
collison detect time::   	3.25418		collison pairs time::   	0
collison detect time::   	3.11827		collison pairs time::   	0
collison detect time::   	3.10496		collison pairs time::   	0
collison detect time::   	3.14643		collison pairs time::   	0
collison detect time::   	3.1031		collison pairs time::   	0
collison detect time::   	3.09408		collison pairs time::   	0
collison detect time::   	3.0799		collison pairs time::   	0
collison detect time::   	3.09536		collison pairs time::   	0
collison detect time::   	3.08902		collison pairs time::   	0
collison detect time::   	3.08717		collison pairs time::   	0
collison detect time::   	3.13046		collison pairs time::   	0
collison detect time::   	3.29101		collison pairs time::   	0
collison detect time::   	3.41901		collison pairs time::   	0
collison detect time::   	3.10982		collison pairs time::   	0
collison detect time::   	3.29088		collison pairs time::   	0
collison detect time::   	3.08374		collison pairs time::   	0
collison detect time::   	3.09136		collison pairs time::   	0
collison detect time::   	3.27306		collison pairs time::   	0
collison detect time::   	3.24726		collison pairs time::   	0
collison detect time::   	4.08282		collison pairs time::   	0
collison detect time::   	3.10749		collison pairs time::   	0
collison detect time::   	3.09997		collison pairs time::   	0
collison detect time::   	3.09242		collison pairs time::   	0
collison detect time::   	3.1025		collison pairs time::   	0
collison detect time::   	3.10554		collison pairs time::   	0
collison detect time::   	3.10093		collison pairs time::   	0
collison detect time::   	3.0832		collison pairs time::   	0
collison detect time::   	4.01341		collison pairs time::   	0
collison detect time::   	3.26045		collison pairs time::   	0
collison detect time::   	3.31398		collison pairs time::   	0
collison detect time::   	3.24826		collison pairs time::   	0
collison detect time::   	3.29728		collison pairs time::   	0
collison detect time::   	3.27629		collison pairs time::   	0
collison detect time::   	3.31392		collison pairs time::   	0
collison detect time::   	3.23677		collison pairs time::   	0
collison detect time::   	3.17686		collison pairs time::   	0
collison detect time::   	3.10794		collison pairs time::   	0
collison detect time::   	3.09245		collison pairs time::   	0
collison detect time::   	3.07414		collison pairs time::   	0
collison detect time::   	3.10118		collison pairs time::   	0
collison detect time::   	3.16877		collison pairs time::   	0
collison detect time::   	3.23878		collison pairs time::   	0
collison detect time::   	3.08637		collison pairs time::   	0
collison detect time::   	3.10448		collison pairs time::   	0
collison detect time::   	3.09309		collison pairs time::   	0
collison detect time::   	3.11779		collison pairs time::   	0
collison detect time::   	3.09414		collison pairs time::   	0
collison detect time::   	3.08742		collison pairs time::   	0
collison detect time::   	3.08906		collison pairs time::   	0
collison detect time::   	3.09114		collison pairs time::   	0
collison detect time::   	3.07117		collison pairs time::   	0
collison detect time::   	3.1121		collison pairs time::   	0
collison detect time::   	3.26928		collison pairs time::   	0
collison detect time::   	27.4269		collison pairs time::   	0
collison detect time::   	3.10118		collison pairs time::   	0
collison detect time::   	3.18163		collison pairs time::   	0
collison detect time::   	3.11715		collison pairs time::   	0
collison detect time::   	3.1159		collison pairs time::   	0
collison detect time::   	3.31638		collison pairs time::   	0
collison detect time::   	3.10326		collison pairs time::   	0
collison detect time::   	3.09027		collison pairs time::   	0
collison detect time::   	3.10861		collison pairs time::   	0
collison detect time::   	3.09014		collison pairs time::   	0
collison detect time::   	3.08653		collison pairs time::   	0
collison detect time::   	3.11507		collison pairs time::   	0
collison detect time::   	3.94547		collison pairs time::   	0
collison detect time::   	3.09674		collison pairs time::   	0
collison detect time::   	3.18819		collison pairs time::   	0
collison detect time::   	3.08694		collison pairs time::   	0
collison detect time::   	3.26874		collison pairs time::   	0
collison detect time::   	3.15638		collison pairs time::   	0
collison detect time::   	3.12221		collison pairs time::   	0
collison detect time::   	3.10534		collison pairs time::   	0
collison detect time::   	3.11104		collison pairs time::   	0
collison detect time::   	3.26544		collison pairs time::   	0
collison detect time::   	3.13242		collison pairs time::   	0
collison detect time::   	3.10499		collison pairs time::   	0
collison detect time::   	3.11219		collison pairs time::   	0
collison detect time::   	3.10467		collison pairs time::   	0
collison detect time::   	3.08813		collison pairs time::   	0
collison detect time::   	3.08314		collison pairs time::   	0
collison detect time::   	3.11638		collison pairs time::   	0
collison detect time::   	3.08864		collison pairs time::   	0
collison detect time::   	3.09859		collison pairs time::   	0
collison detect time::   	3.0887		collison pairs time::   	0
collison detect time::   	3.09306		collison pairs time::   	0
collison detect time::   	3.26269		collison pairs time::   	0
collison detect time::   	3.11606		collison pairs time::   	0
collison detect time::   	3.08941		collison pairs time::   	0
collison detect time::   	3.11162		collison pairs time::   	0
collison detect time::   	3.09632		collison pairs time::   	0
collison detect time::   	3.0928		collison pairs time::   	0
collison detect time::   	3.0823		collison pairs time::   	0
collison detect time::   	3.11194		collison pairs time::   	0
collison detect time::   	3.13677		collison pairs time::   	0
collison detect time::   	3.11619		collison pairs time::   	0
collison detect time::   	3.19181		collison pairs time::   	0
collison detect time::   	3.13136		collison pairs time::   	0
collison detect time::   	3.0961		collison pairs time::   	0
collison detect time::   	3.76157		collison pairs time::   	0
collison detect time::   	3.10848		collison pairs time::   	0
collison detect time::   	3.10102		collison pairs time::   	0
collison detect time::   	3.08554		collison pairs time::   	0
collison detect time::   	3.12093		collison pairs time::   	0
collison detect time::   	3.26115		collison pairs time::   	0
collison detect time::   	3.09731		collison pairs time::   	0
collison detect time::   	3.09152		collison pairs time::   	0
collison detect time::   	3.27821		collison pairs time::   	0
collison detect time::   	3.25904		collison pairs time::   	0
collison detect time::   	3.10512		collison pairs time::   	0
collison detect time::   	3.09702		collison pairs time::   	0
collison detect time::   	3.77693		collison pairs time::   	0
collison detect time::   	3.1033		collison pairs time::   	0
collison detect time::   	3.10403		collison pairs time::   	0
collison detect time::   	3.11619		collison pairs time::   	0
collison detect time::   	3.12032		collison pairs time::   	0
collison detect time::   	3.10877		collison pairs time::   	0
collison detect time::   	3.14762		collison pairs time::   	0
collison detect time::   	3.10173		collison pairs time::   	0
collison detect time::   	3.12573		collison pairs time::   	0
collison detect time::   	3.12762		collison pairs time::   	0
collison detect time::   	3.10026		collison pairs time::   	0
collison detect time::   	3.10656		collison pairs time::   	0
collison detect time::   	4.02		collison pairs time::   	0
collison detect time::   	3.24966		collison pairs time::   	0
collison detect time::   	3.11149		collison pairs time::   	0
collison detect time::   	3.13584		collison pairs time::   	0
collison detect time::   	3.71168		collison pairs time::   	0
collison detect time::   	3.10902		collison pairs time::   	0
collison detect time::   	3.10426		collison pairs time::   	0
collison detect time::   	3.26582		collison pairs time::   	0
collison detect time::   	3.99322		collison pairs time::   	0
collison detect time::   	3.11219		collison pairs time::   	0
collison detect time::   	3.1201		collison pairs time::   	0
collison detect time::   	3.33155		collison pairs time::   	0
collison detect time::   	3.11235		collison pairs time::   	0
collison detect time::   	3.11398		collison pairs time::   	0
collison detect time::   	3.11645		collison pairs time::   	0
collison detect time::   	3.09645		collison pairs time::   	0
collison detect time::   	3.95645		collison pairs time::   	0
collison detect time::   	3.08982		collison pairs time::   	0
collison detect time::   	3.29482		collison pairs time::   	0
collison detect time::   	3.28134		collison pairs time::   	0
collison detect time::   	3.13475		collison pairs time::   	0
collison detect time::   	3.11795		collison pairs time::   	0
collison detect time::   	3.09648		collison pairs time::   	0
collison detect time::   	3.10448		collison pairs time::   	0
collison detect time::   	3.10784		collison pairs time::   	0
collison detect time::   	3.08653		collison pairs time::   	0
collison detect time::   	476.865		collison pairs time::   	0
collison detect time::   	3.18829		collison pairs time::   	0
