collison detect time::   	12.8426		collison pairs::   	470
collison detect time::   	12.8034		collison pairs::   	430
collison detect time::   	12.7818		collison pairs::   	414
collison detect time::   	13.503		collison pairs::   	414
collison detect time::   	13.5702		collison pairs::   	400
collison detect time::   	13.6499		collison pairs::   	366
collison detect time::   	13.5679		collison pairs::   	352
collison detect time::   	15.4633		collison pairs::   	380
collison detect time::   	12.7413		collison pairs::   	434
collison detect time::   	13.7688		collison pairs::   	460
collison detect time::   	13.6819		collison pairs::   	436
collison detect time::   	12.8473		collison pairs::   	470
collison detect time::   	12.8078		collison pairs::   	516
collison detect time::   	12.7492		collison pairs::   	580
collison detect time::   	12.8929		collison pairs::   	606
collison detect time::   	12.7503		collison pairs::   	630
collison detect time::   	12.8575		collison pairs::   	668
collison detect time::   	12.8722		collison pairs::   	712
collison detect time::   	12.8965		collison pairs::   	734
collison detect time::   	12.8887		collison pairs::   	706
collison detect time::   	12.7488		collison pairs::   	674
collison detect time::   	13.2027		collison pairs::   	702
collison detect time::   	12.9006		collison pairs::   	678
collison detect time::   	12.8983		collison pairs::   	596
collison detect time::   	12.9653		collison pairs::   	536
collison detect time::   	12.8052		collison pairs::   	450
collison detect time::   	12.722		collison pairs::   	400
collison detect time::   	13.3333		collison pairs::   	376
collison detect time::   	13.0343		collison pairs::   	376
collison detect time::   	13.5449		collison pairs::   	338
collison detect time::   	12.8466		collison pairs::   	336
collison detect time::   	12.9854		collison pairs::   	328
collison detect time::   	13.9197		collison pairs::   	256
collison detect time::   	13.0227		collison pairs::   	248
collison detect time::   	13.8128		collison pairs::   	222
collison detect time::   	12.8875		collison pairs::   	204
collison detect time::   	12.8658		collison pairs::   	172
collison detect time::   	12.8872		collison pairs::   	158
collison detect time::   	12.7035		collison pairs::   	134
collison detect time::   	12.7649		collison pairs::   	132
collison detect time::   	12.8099		collison pairs::   	136
collison detect time::   	12.7998		collison pairs::   	128
collison detect time::   	13.7706		collison pairs::   	82
collison detect time::   	12.7841		collison pairs::   	70
collison detect time::   	13.9983		collison pairs::   	64
collison detect time::   	12.8987		collison pairs::   	82
collison detect time::   	12.8851		collison pairs::   	94
collison detect time::   	12.9419		collison pairs::   	84
collison detect time::   	12.8212		collison pairs::   	110
collison detect time::   	13.4993		collison pairs::   	112
collison detect time::   	13.0132		collison pairs::   	120
collison detect time::   	12.8582		collison pairs::   	118
collison detect time::   	12.7568		collison pairs::   	126
collison detect time::   	12.8263		collison pairs::   	136
collison detect time::   	12.878		collison pairs::   	134
collison detect time::   	12.8915		collison pairs::   	154
collison detect time::   	12.9484		collison pairs::   	206
collison detect time::   	13.0251		collison pairs::   	236
collison detect time::   	13.5861		collison pairs::   	238
collison detect time::   	13.8747		collison pairs::   	198
collison detect time::   	13.6865		collison pairs::   	190
collison detect time::   	13.1143		collison pairs::   	200
collison detect time::   	13.0868		collison pairs::   	218
collison detect time::   	13.7263		collison pairs::   	220
collison detect time::   	13.3835		collison pairs::   	256
collison detect time::   	13.3684		collison pairs::   	282
collison detect time::   	13.2719		collison pairs::   	296
collison detect time::   	13.1906		collison pairs::   	290
collison detect time::   	13.8306		collison pairs::   	350
collison detect time::   	13.3436		collison pairs::   	372
collison detect time::   	13.4481		collison pairs::   	400
collison detect time::   	13.5959		collison pairs::   	366
collison detect time::   	14.0038		collison pairs::   	392
collison detect time::   	15.5672		collison pairs::   	418
collison detect time::   	14.2992		collison pairs::   	458
collison detect time::   	13.6576		collison pairs::   	484
collison detect time::   	14.0872		collison pairs::   	500
collison detect time::   	13.6155		collison pairs::   	482
collison detect time::   	14.6232		collison pairs::   	514
collison detect time::   	13.586		collison pairs::   	568
collison detect time::   	14.3692		collison pairs::   	600
collison detect time::   	13.8429		collison pairs::   	602
collison detect time::   	13.6305		collison pairs::   	624
collison detect time::   	13.816		collison pairs::   	692
collison detect time::   	13.5852		collison pairs::   	700
collison detect time::   	13.7993		collison pairs::   	696
collison detect time::   	13.7133		collison pairs::   	650
collison detect time::   	13.6943		collison pairs::   	688
collison detect time::   	13.8863		collison pairs::   	720
collison detect time::   	14.0221		collison pairs::   	758
collison detect time::   	13.6504		collison pairs::   	740
collison detect time::   	14.9261		collison pairs::   	674
collison detect time::   	14.5496		collison pairs::   	652
collison detect time::   	14.5418		collison pairs::   	680
collison detect time::   	14.3576		collison pairs::   	640
collison detect time::   	13.7835		collison pairs::   	586
collison detect time::   	13.7436		collison pairs::   	544
collison detect time::   	13.6585		collison pairs::   	570
collison detect time::   	14.4083		collison pairs::   	584
collison detect time::   	13.7971		collison pairs::   	582
collison detect time::   	14.5573		collison pairs::   	556
collison detect time::   	13.7329		collison pairs::   	518
collison detect time::   	13.7026		collison pairs::   	456
collison detect time::   	13.6791		collison pairs::   	452
collison detect time::   	13.9081		collison pairs::   	420
collison detect time::   	13.8812		collison pairs::   	400
collison detect time::   	13.7292		collison pairs::   	384
collison detect time::   	13.6777		collison pairs::   	366
collison detect time::   	13.6538		collison pairs::   	304
collison detect time::   	13.7036		collison pairs::   	312
collison detect time::   	13.83		collison pairs::   	290
collison detect time::   	14.6224		collison pairs::   	284
collison detect time::   	13.9485		collison pairs::   	274
collison detect time::   	13.9696		collison pairs::   	288
collison detect time::   	14.5132		collison pairs::   	278
collison detect time::   	14.652		collison pairs::   	270
collison detect time::   	13.8194		collison pairs::   	250
collison detect time::   	13.5941		collison pairs::   	242
collison detect time::   	13.6814		collison pairs::   	216
collison detect time::   	13.7725		collison pairs::   	236
collison detect time::   	13.7288		collison pairs::   	232
collison detect time::   	14.0245		collison pairs::   	266
collison detect time::   	13.7222		collison pairs::   	274
collison detect time::   	14.3878		collison pairs::   	310
collison detect time::   	14.4888		collison pairs::   	302
collison detect time::   	13.7667		collison pairs::   	310
collison detect time::   	13.6724		collison pairs::   	324
collison detect time::   	13.6582		collison pairs::   	352
collison detect time::   	13.7596		collison pairs::   	374
collison detect time::   	13.6294		collison pairs::   	432
collison detect time::   	13.6903		collison pairs::   	434
collison detect time::   	14.1888		collison pairs::   	440
collison detect time::   	14.2248		collison pairs::   	496
collison detect time::   	13.6924		collison pairs::   	546
collison detect time::   	14.3539		collison pairs::   	582
collison detect time::   	13.8403		collison pairs::   	586
collison detect time::   	13.8167		collison pairs::   	608
collison detect time::   	13.7489		collison pairs::   	664
collison detect time::   	13.7799		collison pairs::   	676
collison detect time::   	13.853		collison pairs::   	676
collison detect time::   	14.5577		collison pairs::   	674
collison detect time::   	13.8379		collison pairs::   	738
collison detect time::   	13.9065		collison pairs::   	766
collison detect time::   	14.2716		collison pairs::   	764
collison detect time::   	14.7445		collison pairs::   	818
collison detect time::   	14.0366		collison pairs::   	892
collison detect time::   	13.9619		collison pairs::   	886
collison detect time::   	14.1247		collison pairs::   	880
collison detect time::   	14.6117		collison pairs::   	898
collison detect time::   	14.9925		collison pairs::   	910
collison detect time::   	14.4858		collison pairs::   	954
collison detect time::   	14.8539		collison pairs::   	1002
collison detect time::   	15.7889		collison pairs::   	1096
collison detect time::   	14.7668		collison pairs::   	1120
collison detect time::   	15.74		collison pairs::   	1120
collison detect time::   	15.9877		collison pairs::   	1170
collison detect time::   	17.9628		collison pairs::   	1126
collison detect time::   	15.3634		collison pairs::   	1120
collison detect time::   	15.671		collison pairs::   	1168
collison detect time::   	15.722		collison pairs::   	1212
collison detect time::   	15.3383		collison pairs::   	1230
collison detect time::   	15.392		collison pairs::   	1264
collison detect time::   	15.3562		collison pairs::   	1318
collison detect time::   	15.5528		collison pairs::   	1348
collison detect time::   	16.5449		collison pairs::   	1356
collison detect time::   	15.6904		collison pairs::   	1276
collison detect time::   	15.5849		collison pairs::   	1278
collison detect time::   	15.521		collison pairs::   	1246
collison detect time::   	15.8357		collison pairs::   	1278
collison detect time::   	16.6112		collison pairs::   	1166
collison detect time::   	15.8663		collison pairs::   	1094
collison detect time::   	15.7524		collison pairs::   	1060
collison detect time::   	15.5412		collison pairs::   	1012
collison detect time::   	15.1097		collison pairs::   	996
collison detect time::   	15.0056		collison pairs::   	992
collison detect time::   	15.7561		collison pairs::   	1004
collison detect time::   	14.8697		collison pairs::   	920
collison detect time::   	15.7614		collison pairs::   	824
collison detect time::   	15.0124		collison pairs::   	786
collison detect time::   	14.956		collison pairs::   	798
collison detect time::   	14.8129		collison pairs::   	812
collison detect time::   	14.9042		collison pairs::   	754
collison detect time::   	15.6556		collison pairs::   	750
collison detect time::   	15.7607		collison pairs::   	720
collison detect time::   	14.986		collison pairs::   	728
collison detect time::   	14.8449		collison pairs::   	716
collison detect time::   	15.1519		collison pairs::   	712
collison detect time::   	14.9288		collison pairs::   	662
collison detect time::   	14.9037		collison pairs::   	658
collison detect time::   	14.9585		collison pairs::   	602
collison detect time::   	16.8362		collison pairs::   	586
collison detect time::   	15.5969		collison pairs::   	614
