collison detect time::   	19.0425		collison pairs::   	13818
collison detect time::   	14.1208		collison pairs::   	13820
collison detect time::   	15.0947		collison pairs::   	13790
collison detect time::   	14.2218		collison pairs::   	13892
collison detect time::   	14.1616		collison pairs::   	14112
collison detect time::   	14.1511		collison pairs::   	14378
collison detect time::   	14.2684		collison pairs::   	14540
collison detect time::   	14.2239		collison pairs::   	14746
collison detect time::   	15.4891		collison pairs::   	14824
collison detect time::   	14.3512		collison pairs::   	14780
collison detect time::   	14.6302		collison pairs::   	15046
collison detect time::   	14.2015		collison pairs::   	15102
collison detect time::   	14.4487		collison pairs::   	15510
collison detect time::   	14.3187		collison pairs::   	15410
collison detect time::   	14.3688		collison pairs::   	15790
collison detect time::   	14.3824		collison pairs::   	16056
collison detect time::   	15.4148		collison pairs::   	16148
collison detect time::   	14.4067		collison pairs::   	16166
collison detect time::   	14.5529		collison pairs::   	16496
collison detect time::   	14.5023		collison pairs::   	16872
collison detect time::   	15.5835		collison pairs::   	16756
collison detect time::   	14.5353		collison pairs::   	16992
collison detect time::   	15.5471		collison pairs::   	17110
collison detect time::   	14.5708		collison pairs::   	17240
collison detect time::   	14.5674		collison pairs::   	17386
collison detect time::   	14.5073		collison pairs::   	17538
collison detect time::   	15.3434		collison pairs::   	17826
collison detect time::   	16.387		collison pairs::   	17944
collison detect time::   	14.5706		collison pairs::   	18320
collison detect time::   	14.5265		collison pairs::   	18362
collison detect time::   	15.4485		collison pairs::   	18346
collison detect time::   	14.6536		collison pairs::   	18508
collison detect time::   	14.5158		collison pairs::   	18646
collison detect time::   	14.688		collison pairs::   	18806
collison detect time::   	15.1556		collison pairs::   	18690
collison detect time::   	14.6048		collison pairs::   	18778
collison detect time::   	15.9854		collison pairs::   	18492
collison detect time::   	14.677		collison pairs::   	18564
collison detect time::   	14.7944		collison pairs::   	18656
collison detect time::   	14.6749		collison pairs::   	18668
collison detect time::   	14.8042		collison pairs::   	18878
collison detect time::   	14.7697		collison pairs::   	19012
collison detect time::   	14.8396		collison pairs::   	19190
collison detect time::   	14.7794		collison pairs::   	19710
collison detect time::   	15.7487		collison pairs::   	19854
collison detect time::   	14.7036		collison pairs::   	19932
collison detect time::   	14.6699		collison pairs::   	19892
collison detect time::   	14.7146		collison pairs::   	19844
collison detect time::   	15.8119		collison pairs::   	20046
collison detect time::   	14.8109		collison pairs::   	20296
collison detect time::   	15.0276		collison pairs::   	20310
collison detect time::   	14.8394		collison pairs::   	20236
collison detect time::   	45.6303		collison pairs::   	20602
collison detect time::   	14.8073		collison pairs::   	20636
collison detect time::   	14.952		collison pairs::   	20778
collison detect time::   	15.7466		collison pairs::   	20954
collison detect time::   	15.6704		collison pairs::   	20872
collison detect time::   	14.8997		collison pairs::   	21106
collison detect time::   	14.884		collison pairs::   	21444
collison detect time::   	14.9392		collison pairs::   	21492
collison detect time::   	15.6583		collison pairs::   	21350
collison detect time::   	15.7099		collison pairs::   	21652
collison detect time::   	15.6572		collison pairs::   	21630
collison detect time::   	14.8595		collison pairs::   	21814
collison detect time::   	14.9032		collison pairs::   	22086
collison detect time::   	14.7338		collison pairs::   	22010
collison detect time::   	14.9218		collison pairs::   	22274
collison detect time::   	14.9402		collison pairs::   	22552
collison detect time::   	14.9594		collison pairs::   	22786
collison detect time::   	14.8888		collison pairs::   	22714
collison detect time::   	14.8796		collison pairs::   	22684
collison detect time::   	14.9594		collison pairs::   	22742
collison detect time::   	16.2299		collison pairs::   	22944
collison detect time::   	14.8553		collison pairs::   	22912
collison detect time::   	15.7691		collison pairs::   	23198
collison detect time::   	14.8939		collison pairs::   	22922
collison detect time::   	14.9348		collison pairs::   	23132
collison detect time::   	14.9138		collison pairs::   	23084
collison detect time::   	15.4319		collison pairs::   	23322
collison detect time::   	14.8751		collison pairs::   	23752
collison detect time::   	16.1671		collison pairs::   	23680
collison detect time::   	14.7926		collison pairs::   	23910
collison detect time::   	14.7509		collison pairs::   	23672
collison detect time::   	14.8113		collison pairs::   	24206
collison detect time::   	15.1179		collison pairs::   	24372
collison detect time::   	15.7531		collison pairs::   	24588
collison detect time::   	15.0649		collison pairs::   	24842
collison detect time::   	14.9437		collison pairs::   	24986
collison detect time::   	15.1396		collison pairs::   	25018
collison detect time::   	14.8991		collison pairs::   	25576
collison detect time::   	14.9715		collison pairs::   	26090
collison detect time::   	15.0115		collison pairs::   	26216
collison detect time::   	15.3611		collison pairs::   	26580
collison detect time::   	14.9688		collison pairs::   	26856
collison detect time::   	15.7068		collison pairs::   	27086
collison detect time::   	14.9346		collison pairs::   	27022
collison detect time::   	15.0635		collison pairs::   	27408
collison detect time::   	15.0349		collison pairs::   	27544
collison detect time::   	15.1894		collison pairs::   	27588
collison detect time::   	15.8885		collison pairs::   	27412
collison detect time::   	16.0392		collison pairs::   	27622
collison detect time::   	15.2271		collison pairs::   	27840
collison detect time::   	15.4741		collison pairs::   	27682
collison detect time::   	15.4037		collison pairs::   	27674
collison detect time::   	16.2721		collison pairs::   	27614
collison detect time::   	15.3881		collison pairs::   	27550
collison detect time::   	15.1524		collison pairs::   	27192
collison detect time::   	15.0805		collison pairs::   	27426
collison detect time::   	15.3131		collison pairs::   	27196
collison detect time::   	15.0145		collison pairs::   	27276
collison detect time::   	15.6623		collison pairs::   	27228
collison detect time::   	15.1113		collison pairs::   	27446
collison detect time::   	15.0018		collison pairs::   	27344
collison detect time::   	15.0859		collison pairs::   	27470
collison detect time::   	15.3096		collison pairs::   	27760
collison detect time::   	16.0575		collison pairs::   	28014
collison detect time::   	15.1791		collison pairs::   	28280
collison detect time::   	15.1867		collison pairs::   	28416
collison detect time::   	15.3803		collison pairs::   	28802
collison detect time::   	15.2476		collison pairs::   	28954
collison detect time::   	15.6332		collison pairs::   	29656
collison detect time::   	15.6877		collison pairs::   	30026
collison detect time::   	15.7873		collison pairs::   	30416
collison detect time::   	16.5722		collison pairs::   	30672
collison detect time::   	16.709		collison pairs::   	31072
collison detect time::   	15.8539		collison pairs::   	31224
collison detect time::   	15.9579		collison pairs::   	31788
collison detect time::   	16.5685		collison pairs::   	31834
collison detect time::   	15.8633		collison pairs::   	32036
collison detect time::   	15.6955		collison pairs::   	31980
collison detect time::   	16.6201		collison pairs::   	32178
collison detect time::   	15.7103		collison pairs::   	32178
collison detect time::   	16.6665		collison pairs::   	32560
collison detect time::   	15.6564		collison pairs::   	32454
collison detect time::   	15.818		collison pairs::   	32270
collison detect time::   	15.6913		collison pairs::   	32056
collison detect time::   	16.712		collison pairs::   	31508
collison detect time::   	15.9026		collison pairs::   	31740
collison detect time::   	15.9858		collison pairs::   	31720
collison detect time::   	15.7869		collison pairs::   	31064
collison detect time::   	16.5884		collison pairs::   	30906
collison detect time::   	15.7174		collison pairs::   	30938
collison detect time::   	15.8255		collison pairs::   	31082
collison detect time::   	15.7956		collison pairs::   	31106
collison detect time::   	15.9243		collison pairs::   	31076
collison detect time::   	15.8078		collison pairs::   	31208
collison detect time::   	16.617		collison pairs::   	31736
collison detect time::   	15.8763		collison pairs::   	32024
collison detect time::   	15.7915		collison pairs::   	32234
collison detect time::   	20.024		collison pairs::   	32724
collison detect time::   	16.6119		collison pairs::   	33442
collison detect time::   	15.8918		collison pairs::   	33700
collison detect time::   	16.0827		collison pairs::   	33758
collison detect time::   	16.4542		collison pairs::   	33978
collison detect time::   	15.8753		collison pairs::   	34008
collison detect time::   	15.8689		collison pairs::   	34178
collison detect time::   	15.966		collison pairs::   	34328
collison detect time::   	15.8349		collison pairs::   	34870
collison detect time::   	16.2028		collison pairs::   	34542
collison detect time::   	16.8446		collison pairs::   	35272
collison detect time::   	16.8619		collison pairs::   	35096
collison detect time::   	15.9382		collison pairs::   	35420
collison detect time::   	16.9543		collison pairs::   	35676
collison detect time::   	16.0134		collison pairs::   	35710
collison detect time::   	16.1164		collison pairs::   	35678
collison detect time::   	15.9708		collison pairs::   	35934
collison detect time::   	16.069		collison pairs::   	35574
collison detect time::   	15.8059		collison pairs::   	35302
collison detect time::   	16.7936		collison pairs::   	35446
collison detect time::   	15.9667		collison pairs::   	35396
collison detect time::   	16.0454		collison pairs::   	35246
collison detect time::   	15.9808		collison pairs::   	35508
collison detect time::   	16.435		collison pairs::   	35836
